Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi - Région : Pays de la Loire - Janvier 1996 à Octobre 2021 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fi=52&ss=1
Mois;Nombre de demandeurs d'emploi
Janvier 1996; 237 230
Février 1996; 233 040
Mars 1996; 231 030
Avril 1996; 224 980
Mai 1996; 219 790
Juin 1996; 218 110
Juillet 1996; 221 390
Août 1996; 227 530
Septembre 1996; 238 270
Octobre 1996; 242 110
Novembre 1996; 241 900
Décembre 1996; 243 010
Janvier 1997; 244 510
Février 1997; 241 020
Mars 1997; 235 520
Avril 1997; 230 860
Mai 1997; 227 430
Juin 1997; 225 690
Juillet 1997; 226 950
Août 1997; 232 870
Septembre 1997; 243 420
Octobre 1997; 246 820
Novembre 1997; 245 670
Décembre 1997; 247 080
Janvier 1998; 247 050
Février 1998; 243 040
Mars 1998; 237 700
Avril 1998; 232 870
Mai 1998; 227 350
Juin 1998; 226 330
Juillet 1998; 228 580
Août 1998; 236 420
Septembre 1998; 243 940
Octobre 1998; 246 620
Novembre 1998; 246 210
Décembre 1998; 246 780
Janvier 1999; 244 340
Février 1999; 243 370
Mars 1999; 241 570
Avril 1999; 231 830
Mai 1999; 227 000
Juin 1999; 224 160
Juillet 1999; 222 580
Août 1999; 227 570
Septembre 1999; 232 250
Octobre 1999; 232 100
Novembre 1999; 230 400
Décembre 1999; 227 610
Janvier 2000; 227 060
Février 2000; 223 060
Mars 2000; 217 410
Avril 2000; 209 000
Mai 2000; 204 170
Juin 2000; 199 090
Juillet 2000; 199 790
Août 2000; 204 140
Septembre 2000; 206 210
Octobre 2000; 206 080
Novembre 2000; 204 060
Décembre 2000; 201 790
Janvier 2001; 203 200
Février 2001; 200 270
Mars 2001; 194 960
Avril 2001; 190 850
Mai 2001; 187 380
Juin 2001; 182 970
Juillet 2001; 185 020
Août 2001; 189 590
Septembre 2001; 197 280
Octobre 2001; 201 530
Novembre 2001; 204 620
Décembre 2001; 205 040
Janvier 2002; 207 510
Février 2002; 204 900
Mars 2002; 200 370
Avril 2002; 196 880
Mai 2002; 192 700
Juin 2002; 189 320
Juillet 2002; 191 450
Août 2002; 196 680
Septembre 2002; 203 860
Octobre 2002; 204 360
Novembre 2002; 207 350
Décembre 2002; 209 460
Janvier 2003; 212 900
Février 2003; 210 770
Mars 2003; 208 030
Avril 2003; 203 020
Mai 2003; 198 900
Juin 2003; 194 450
Juillet 2003; 197 410
Août 2003; 202 780
Septembre 2003; 214 170
Octobre 2003; 218 570
Novembre 2003; 219 050
Décembre 2003; 220 520
Janvier 2004; 219 490
Février 2004; 217 400
Mars 2004; 213 860
Avril 2004; 209 480
Mai 2004; 205 990
Juin 2004; 204 470
Juillet 2004; 205 940
Août 2004; 213 120
Septembre 2004; 221 870
Octobre 2004; 224 150
Novembre 2004; 227 570
Décembre 2004; 227 620
Janvier 2005; 229 920
Février 2005; 227 660
Mars 2005; 224 700
Avril 2005; 220 250
Mai 2005; 217 120
Juin 2005; 211 450
Juillet 2005; 210 450
Août 2005; 216 350
Septembre 2005; 224 050
Octobre 2005; 226 080
Novembre 2005; 225 270
Décembre 2005; 224 750
Janvier 2006; 226 300
Février 2006; 223 620
Mars 2006; 219 480
Avril 2006; 212 480
Mai 2006; 207 300
Juin 2006; 202 920
Juillet 2006; 201 330
Août 2006; 207 100
Septembre 2006; 213 650
Octobre 2006; 215 400
Novembre 2006; 213 590
Décembre 2006; 209 490
Janvier 2007; 211 030
Février 2007; 208 160
Mars 2007; 203 520
Avril 2007; 196 880
Mai 2007; 192 240
Juin 2007; 186 760
Juillet 2007; 186 530
Août 2007; 191 380
Septembre 2007; 195 220
Octobre 2007; 196 780
Novembre 2007; 196 220
Décembre 2007; 194 190
Janvier 2008; 197 440
Février 2008; 194 610
Mars 2008; 189 330
Avril 2008; 185 280
Mai 2008; 181 090
Juin 2008; 177 650
Juillet 2008; 179 450
Août 2008; 184 870
Septembre 2008; 192 780
Octobre 2008; 199 050
Novembre 2008; 204 070
Décembre 2008; 208 440
Janvier 2009; 216 210
Février 2009; 220 670
Mars 2009; 222 350
Avril 2009; 223 720
Mai 2009; 222 900
Juin 2009; 221 090
Juillet 2009; 225 120
Août 2009; 233 600
Septembre 2009; 245 840
Octobre 2009; 252 090
Novembre 2009; 255 120
Décembre 2009; 255 240
Janvier 2010; 258 660
Février 2010; 258 320
Mars 2010; 257 040
Avril 2010; 254 030
Mai 2010; 251 470
Juin 2010; 248 590
Juillet 2010; 248 970
Août 2010; 255 760
Septembre 2010; 264 290
Octobre 2010; 265 970
Novembre 2010; 267 580
Décembre 2010; 266 970
Janvier 2011; 269 100
Février 2011; 266 480
Mars 2011; 262 130
Avril 2011; 256 810
Mai 2011; 254 840
Juin 2011; 250 790
Juillet 2011; 250 730
Août 2011; 258 180
Septembre 2011; 268 060
Octobre 2011; 272 200
Novembre 2011; 276 030
Décembre 2011; 276 860
Janvier 2012; 280 790
Février 2012; 279 730
Mars 2012; 277 060
Avril 2012; 272 020
Mai 2012; 270 380
Juin 2012; 268 630
Juillet 2012; 271 960
Août 2012; 280 490
Septembre 2012; 290 570
Octobre 2012; 299 150
Novembre 2012; 302 640
Décembre 2012; 301 530
Janvier 2013; 308 230
Février 2013; 306 990
Mars 2013; 305 580
Avril 2013; 302 980
Mai 2013; 299 340
Juin 2013; 293 710
Juillet 2013; 297 420
Août 2013; 300 020
Septembre 2013; 314 630
Octobre 2013; 322 560
Novembre 2013; 323 480
Décembre 2013; 323 730
Janvier 2014; 328 120
Février 2014; 325 560
Mars 2014; 321 940
Avril 2014; 319 710
Mai 2014; 316 460
Juin 2014; 313 410
Juillet 2014; 315 960
Août 2014; 320 780
Septembre 2014; 334 060
Octobre 2014; 341 110
Novembre 2014; 342 650
Décembre 2014; 344 390
Janvier 2015; 347 860
Février 2015; 347 140
Mars 2015; 345 440
Avril 2015; 344 380
Mai 2015; 343 210
Juin 2015; 339 530
Juillet 2015; 340 400
Août 2015; 346 610
Septembre 2015; 357 010
Octobre 2015; 362 310
Novembre 2015; 364 010
Décembre 2015; 363 980
Janvier 2016; 363 710
Février 2016; 361 720
Mars 2016; 357 390
Avril 2016; 348 450
Mai 2016; 346 740
Juin 2016; 342 730
Juillet 2016; 340 930
Août 2016; 350 810
Septembre 2016; 358 660
Octobre 2016; 361 130
Novembre 2016; 364 430
Décembre 2016; 362 530
Janvier 2017; 365 880
Février 2017; 363 680
Mars 2017; 359 160
Avril 2017; 354 450
Mai 2017; 352 630
Juin 2017; 347 850
Juillet 2017; 348 440
Août 2017; 356 660
Septembre 2017; 361 550
Octobre 2017; 364 530
Novembre 2017; 365 720
Décembre 2017; 362 990
Janvier 2018; 365 230
Février 2018; 362 070
Mars 2018; 356 900
Avril 2018; 352 510
Mai 2018; 351 040
Juin 2018; 344 440
